PAIS;Equipo;Marca;Site;Ubicación;Device Name;IP;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;CD Cordoba;C. Cómputos;RO2821CBA-CD;10.133.38.11;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;CD Cordoba;C. Cómputos;SWCBACPD02-CD;10.133.38.12;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;CD Liderma;Centro Computos;ROROSLid-2821;10.133.31.10;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;CD Liderma;Centro Computos;SWLIDRos-01;10.133.31.11;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;CD Rosario;Centro de computos;RO2851ROS;10.133.41.10;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;CD Rosario;Centro de computos;SWRCPD0111;10.133.41.11;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;CD Rosario;Centro de computos;SWRCPD0112;10.133.41.12;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;CD Rosario;Centro de computos;SWRCPD0213;10.133.41.13;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;CD Rosario;Logistica;SWRLOG14;10.133.41.14;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;CD Rosario;Logistica;SWRLOG115;10.133.41.15;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;CD Santa Fe;Centro Computos;RO2821STF-CD;10.133.40.10;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;CD Santa Fe;Centro Computos;SWSTFCD01-CPD;10.133.40.11;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;CD Santa Fe;Centro Computos;SWSTFCD-02;10.133.40.12;;;;;;;;;;;;;;;;;
Argentina;Routers;Cisco;Planta Cordoba;Centro de computos;RO2851CBAP;10.133.26.10;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Cordoba;Centro de computos;SWCBACPD01-PT;10.133.26.11;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Cordoba;Centro de computos;SWCBACPD02-PT;10.133.26.12;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Cordoba;Centro de computos;SWCBACPD03-PT;10.133.26.13;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Cordoba;Logistica;SWCBALOG-PT;10.133.26.17;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Cordoba;Mantenimiento;SWCBAMAN-PT;10.133.26.15;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Cordoba;Soplado;SWCBASOP-PT;10.133.26.16;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Cordoba;Vigilancia;SWCBAVIG-PT;10.133.26.14;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;Planta Corrientes;Centro de Computos;RO3825CRP;10.133.18.10;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Corrientes;Centro de Computos;SWCRPCPD01;10.133.18.11;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Corrientes;Centro de Computos;SWCRPCPD02;10.133.18.12;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Corrientes;Comedor;SWCRPCOMED;10.133.18.13;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Corrientes;Deposito;SWCRPDEP;10.133.18.19;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Corrientes;Elaboracion;SWCRPELAB01;10.133.18.17;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Corrientes;Elaboracion;SWCRPELAB02;10.133.18.18;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Corrientes;Logistica;SWCRPLOG-21;10.133.18.21;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Corrientes;Movimiento;SWCRPMOV;10.133.18.20;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Corrientes;Porteria;SWCRPPORT;10.133.18.23;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Corrientes;Ventas;SWCRPVEN01;10.133.18.14;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Corrientes;Ventas;SWCRPVEN02;10.133.18.15;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;Planta Mendoza;Centro Computos;RO3825MZA;10.133.14.10;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Centro Computos;SWMZACPD01;10.133.14.11;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Mantenimiento;SWMZAMANT-1;10.133.14.12;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Mantenimiento;SWMZAMANT-2;10.133.14.26;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD;SW3750-0;10.133.0.10;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;Planta Quilmes;CPD;RO3845QC;10.133.0.17;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD;SW3750-6;10.133.0.22;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD Recovery;SWR3750-0;10.133.0.11;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;Planta Quilmes;CPD Recovery;ROR3845QC;10.133.0.18;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CPD Recovery;SWR3750-6;10.133.0.34;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SWQEDNPBAUD-93;10.133.0.93;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;CSC;SW2950-220;10.133.0.220;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Quilmes;Mancom Sistemas Finanzas;SWQEDN202;10.133.0.202;;;;;;;;;;;;;;;;;
Argentina;router;Cisco;Planta Tunuyan;Centro de computos;ROTUN4210;10.133.42.10;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Centro de computos;SWTUN11-CPD;10.133.42.11;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Centro de computos;SWTUN12-CPD;10.133.42.12;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Centro de computos;SWTUN13-CPD;10.133.42.13;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Operaciones;SWTUN14-OPERACIONES;10.133.42.14;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Hidroteca;SWTUN15-HIDROTECA;10.133.42.15;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Filtros;SWTUN16-FILTROS;10.133.42.16;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Mantenimiento;SWTUN17-MANTENIMIENTO;10.133.42.17;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Caladora;SWMTACALA-17;10.133.46.17;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;Tres Arroyos;Centro de Computos;RO2851MTA;10.133.46.10;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Centro de Computos;SWMTACPD00-11;10.133.46.11;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Centro de Computos;SWMTACPD00-12;10.133.46.12;;;;;;;;;;;;;;;;;
